uniqueid,receipt_number,sku,description
129599,44356,PCH-100,MAOLI PINEAPPLE CHUNKS 6X100 OZ
129600,44356,PCD-100,MAOLI PINEAPPLE CRUSHED 6X100
127913,61556,QCRetainSample,QC Retain Sample
128318,61755,QCRetainSample,QC Retain Sample
128530,61882,QCRetainSample,QC Retain Sample
129528,62483,QCRetainSample,QC Retain Sample
129530,62485,QCRetainSample,QC Retain Sample
129770,62610,QCRetainSample,QC Retain Sample
129921,62709,QCRetainSample,QC Retain Sample
130525,63085,QCRetainSample,QC Retain Sample
133160,64717,QCRetainSample,QC Retain Sample
133271,64775,QCRetainSample,QC Retain Sample
133494,64902,QCRetainSample,QC Retain Sample
133638,64994,QCRetainSample,QC Retain Sample
133744,65065,QCRetainSample,QC Retain Sample
134010,65219,QCRetainSample,QC Retain Sample
134689,65623,179678,FG - Simply with Pulp - 6x2.63L
134695,65629,376580,Simply Orange Pulp Free 1.54L
134697,65631,392177,FG Simply Lemonade 1.54L PLBT 1LS6 CA
134700,65633,1597053,S-1121 2X Lemon Oil 5Gal Pail
134701,65633,1964629,ORANGE ESSENCE 200
134702,65633,1232865,S-1143 5X Lemon Oil Pail
134718,65635,391778,FG Simply Rasp Lem 1.54L
134721,65638,391684,Simply Watermelon 1.54L
134722,65639,391778,FG Simply Rasp Lem 1.54L
134724,65641,376581,Simply Orange W/Pulp 1.54L
134726,65643,391685,FG- SIMPLY PEACH 1.54
134728,65645,1961205,6X 1.54L Simply Simply Tray
134731,65647,376580,Simply Orange Pulp Free 1.54L
134734,65649,392177,FG Simply Lemonade 1.54L PLBT 1LS6 CA
134735,65650,376580,Simply Orange Pulp Free 1.54L
134737,65652,2010490,ING-PEACH PUREE
134738,65652,1946845,ING-WATERMELON
134739,65652,1341496,ING - Blueberry Puree Drum
134740,65652,1840795,NFC Peach Puree Yellw Cling
134741,65652,1232850,ING - Raspberry Puree Seedless
134742,65652,1844825,"ING-PEACH JUICE, SUN MET"
134743,65652,1740407,ING-Sour Cherry
134744,65652,1847094,"ING-PEACH JUICE, INDULLEIDA"
134745,65652,2010490,ING-PEACH PUREE
134746,65652,1235513,PERSIAN LIME JUICE PAST
134747,65652,1235513,PERSIAN LIME JUICE PAST
134754,65659,392077,FG Simply Lemonade W/ Blueberry 1.54 CA
134756,65661,1641973,CAP 43MM BRY LIFT PEEL LNR SIMPLY ORG
134757,65662,1453505,Chep Pallet
134758,65663,1453505,Chep Pallet
134759,65664,1098805,ING - Berry Flavour WONF
134760,65665,2047937,LBL Simply Lemonade With Raspberry 1.54L FT
134761,65665,2047938,LBL Simply Lemon Raspberry BK 2.63L
134762,65665,2058927,LBL Simply OJ Pulp Free FT 2.63L
134763,65665,2058928,LBL Simply OJ Pulp Free BK 2.63L
134764,65665,2099604,LBL-SIMPLY PEACH FT 1.54L
134766,65667,288079,FG - Simply Rasp Lemonade 6x2.63L
134770,65670,288078,FG - Simply Lemonade 6x2.63L
134771,65671,179678,FG - Simply with Pulp - 6x2.63L
134780,65677,179677,FG - Simply Pulp Free 6x2.63L
134805,65687,1641973,CAP 43MM BRY LIFT PEEL LNR SIMPLY ORG
134809,65691,1548940,ING - Lime Pulp Drum
134810,65691,1808094,LEMON  PULP  180 kg  - DRUM
134811,65691,YPCHEPCDN,CDN CHEP PALLET
134812,65692,2047966,Aseptic Orange Pulp Drum
134813,65692,1453505,Chep Pallet
