company_code,receipt_number,order_number,document_date
1,65699,3670344960,2020-08-26 00:00:00
1,65639,84483982,2020-08-18 00:00:00
1,65661,4508494726,2020-08-21 00:00:00
1,62485,CDC20190909,2019-09-09 00:00:00
1,63085,CDC-20191108-01,2019-11-09 00:00:00
1,65662,3670286997,2020-08-21 00:00:00
1,65663,3670284638,2020-08-21 00:00:00
1,65664,450890719,2020-08-21 00:00:00
1,65665,4508504851,2020-08-21 00:00:00
1,65711,4508536807,2020-08-27 00:00:00
1,65713,2200543741,2020-08-27 00:00:00
1,65719,2200543742,2020-08-27 00:00:00
1,65819,96964,2020-09-11 00:00:00
1,61755,CDC-20190704-02,2019-07-04 00:00:00
1,65809,4508552969,2020-09-10 00:00:00
1,65811,4508549513,2020-09-10 00:00:00
1,64775,CDC20200521,2020-05-21 00:00:00
1,65798,200881526,2020-09-08 00:00:00
1,65667,90341,2020-08-21 00:00:00
1,62610,518956,2019-09-24 00:00:00
1,65670,90342,2020-08-21 00:00:00
1,65671,90343,2020-08-21 00:00:00
1,65698,90346,2020-08-26 00:00:00
1,65677,90344,2020-08-24 00:00:00
1,65693,90345,2020-08-25 00:00:00
1,65702,90347,2020-08-26 00:00:00
1,61882,CDC-20190716-03,2019-07-16 00:00:00
1,65706,90348,2020-08-27 00:00:00
1,65744,90354,2020-08-31 00:00:00
1,62709,cdc-20191004-04,2019-10-04 00:00:00
1,65721,90350,2020-08-27 00:00:00
1,65804,3670450843,2020-09-09 00:00:00
1,65726,90351,2020-08-28 00:00:00
1,65747,90355,2020-09-01 00:00:00
1,65731,90352,2020-08-28 00:00:00
1,65736,90353,2020-08-31 00:00:00
1,65752,90356,2020-09-01 00:00:00
1,65755,90357,2020-09-02 00:00:00
1,65764,90358,2020-09-03 00:00:00
1,65765,90359,2020-09-03 00:00:00
1,65769,90360,2020-09-03 00:00:00
1,65754,4701650881,2020-09-02 00:00:00
1,65756,4508490743,2020-09-02 00:00:00
1,65748,4508504784,2020-09-01 00:00:00
1,64717,cdc20200513,2020-05-14 00:00:00
1,65773,90361,2020-09-04 00:00:00
1,65751,4505836600,2020-09-01 00:00:00
1,65775,90362,2020-09-04 00:00:00
1,64902,cdc-020620,2020-06-02 00:00:00
1,65779,drums-090520,2020-09-05 00:00:00
1,61556,CDC-20190617-03,2019-06-18 00:00:00
1,65633,200869723,2020-08-17 00:00:00
1,65792,4508544070,2020-09-08 00:00:00
1,65645,4508490741,2020-08-19 00:00:00
1,65796,200881538,2020-09-08 00:00:00
1,65724,4508536813,2020-08-28 00:00:00
1,65725,4508520878,2020-08-28 00:00:00
1,65799,84486176,2020-09-08 00:00:00
1,65652,o96579,2020-08-20 00:00:00
1,65705,96662,2020-08-26 00:00:00
1,65623,90330,2020-08-15 00:00:00
1,65834,52870,2020-09-12 00:00:00
1,65835,52872,2020-09-12 00:00:00
1,65836,52873,2020-09-13 00:00:00
1,65794,4508520170,2020-09-08 00:00:00
1,62483,mm-20190909,2019-09-09 00:00:00
1,44356,CHEF RETURN,2016-06-23 00:00:00
1,65837,90375,2020-09-13 00:00:00
1,64994,cdc-203202611-1,2020-06-11 00:00:00
1,65691,200875562,2020-08-25 00:00:00
1,65692,200875563,2020-08-25 00:00:00
1,65219,cdc-20200708,2020-07-08 00:00:00
1,65065,cdc-20200618-1,2020-06-18 00:00:00
1,65635,90333,2020-08-17 00:00:00
1,65629,90331,2020-08-17 00:00:00
1,65758,4508544080,2020-09-02 00:00:00
1,65631,90332,2020-08-17 00:00:00
1,65716,90349,2020-08-27 00:00:00
1,65638,90334,2020-08-18 00:00:00
1,65641,90335,2020-08-18 00:00:00
1,65720,397073,2020-08-27 00:00:00
1,65687,4508512517,2020-08-25 00:00:00
1,65727,4508536493,2020-08-28 00:00:00
1,65729,20200827,2020-08-28 00:00:00
1,65800,52852,2020-09-08 00:00:00
1,65676,33611,2020-08-23 00:00:00
1,65801,90367,2020-09-09 00:00:00
1,65778,90363,2020-09-05 00:00:00
1,65762,4508534674,2020-09-02 00:00:00
1,65783,90364,2020-09-05 00:00:00
1,65802,52853,2020-09-09 00:00:00
1,65805,52854,2020-09-09 00:00:00
1,65786,90365,2020-09-05 00:00:00
1,65806,52855,2020-09-10 00:00:00
1,65788,52850,2020-09-08 00:00:00
1,65789,90366,2020-09-08 00:00:00
1,65797,52851,2020-09-08 00:00:00
1,65807,52856,2020-09-10 00:00:00
1,65808,90368,2020-09-10 00:00:00
1,65643,90338,2020-08-19 00:00:00
1,65649,90337,2020-08-20 00:00:00
1,65812,52857,2020-09-10 00:00:00
1,65647,90336,2020-08-19 00:00:00
1,65650,90339,2020-08-20 00:00:00
1,65813,52858,2020-09-10 00:00:00
1,65814,90369,2020-09-10 00:00:00
1,65815,52859,2020-09-11 00:00:00
1,65816,52860,2020-09-11 00:00:00
1,65817,200884613,2020-09-11 00:00:00
1,65818,200884614,2020-09-11 00:00:00
1,65820,52861,2020-09-11 00:00:00
1,65659,90340,2020-08-21 00:00:00
1,65821,90370,2020-09-11 00:00:00
1,65822,52862,2020-09-11 00:00:00
1,65823,90371,2020-09-11 00:00:00
1,65824,52863,2020-09-11 00:00:00
1,65825,52864,2020-09-12 00:00:00
1,65826,52865,2020-09-12 00:00:00
1,65827,52866,2020-09-12 00:00:00
1,65828,52867,2020-09-12 00:00:00
1,65829,52868,2020-09-12 00:00:00
1,65830,90372,2020-09-12 00:00:00
1,65831,52869,2020-09-12 00:00:00
1,65832,90373,2020-09-12 00:00:00
1,65833,90374,2020-09-12 00:00:00
