record_id,receipt_number,sku,qty_received
336750,22171,223984,75.000
336753,22171,223984,75.000
336754,22171,223984,75.000
336755,22171,223984,75.000
336757,22171,223984,75.000
1007613,58610,YPCHEPCDN,1.000
1083035,61119,1453505,24.000
1093588,61556,QCRetainSample,1.000
1120473,62483,QCRetainSample,1.000
1120474,62483,QCRetainSample,1.000
1120478,62483,QCRetainSample,1.000
1120481,62483,QCRetainSample,1.000
1120482,62483,QCRetainSample,1.000
1120484,62485,QCRetainSample,1.000
1120485,62485,QCRetainSample,1.000
1121791,44356,PCH-100,45.000
1121792,44356,PCD-100,3.000
1124426,62610,QCRetainSample,1.000
1124427,62610,QCRetainSample,1.000
1127614,62709,QCRetainSample,1.000
1127615,62709,QCRetainSample,1.000
1138306,63085,QCRetainSample,1.000
1138307,63085,QCRetainSample,1.000
1196478,64717,QCRetainSample,1.000
1198372,64775,QCRetainSample,1.000
1203722,64902,QCRetainSample,1.000
1203724,64902,QCRetainSample,1.000
1207986,64994,QCRetainSample,1.000
1210370,65065,QCRetainSample,1.000
1210371,65065,QCRetainSample,1.000
1218139,65219,QCRetainSample,1.000
1232505,65623,179678,50.000
1232506,65623,179678,50.000
1232508,65623,179678,50.000
1232509,65623,179678,50.000
1232512,65623,179678,50.000
1232513,65623,179678,50.000
1232514,65623,179678,50.000
1232516,65623,179678,50.000
1232517,65623,179678,50.000
1232518,65623,179678,50.000
1232521,65623,179678,50.000
1232522,65623,179678,50.000
1232523,65623,179678,50.000
1232524,65623,179678,50.000
1232525,65623,179678,50.000
1232526,65623,179678,50.000
1232527,65623,179678,50.000
1232529,65623,179678,50.000
1232530,65623,179678,50.000
1232531,65623,179678,50.000
1232532,65623,179678,50.000
1232536,65623,179678,50.000
1232537,65623,179678,50.000
1232538,65623,179678,50.000
1232539,65623,179678,50.000
1232540,65623,179678,50.000
1232541,65623,179678,50.000
1232542,65623,179678,50.000
1232543,65623,179678,50.000
1232544,65623,179678,50.000
1232556,65623,179678,50.000
1232557,65623,179678,50.000
1232558,65623,179678,50.000
1232559,65623,179678,50.000
1232561,65623,179678,50.000
1232562,65623,179678,50.000
1232563,65623,179678,50.000
1232564,65623,179678,50.000
1232565,65623,179678,50.000
1232566,65623,179678,50.000
1232567,65623,179678,50.000
1232568,65623,179678,50.000
1232569,65623,179678,50.000
1232570,65623,179678,50.000
1232571,65623,179678,50.000
1232572,65623,179678,50.000
